Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,CSV File Name,Date Reported
,Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569,03-01-2020.csv,03-01-2020
,Iceland,2020-03-01T23:33:03,3,0,0,64.9631,-19.0208,03-01-2020.csv,03-01-2020
,India,2020-02-16T07:43:02,3,0,3,21.0000,78.0000,03-01-2020.csv,03-01-2020
,Philippines,2020-02-12T07:43:02,3,1,1,13.0000,122.0000,03-01-2020.csv,03-01-2020
,Qatar,2020-03-01T23:33:03,3,0,0,25.3548,51.1839,03-01-2020.csv,03-01-2020
,Romania,2020-02-28T15:33:03,3,0,0,45.9432,24.9668,03-01-2020.csv,03-01-2020
"Chicago, IL",US,2020-03-01T03:53:02,3,0,2,41.8781,-87.6298,03-01-2020.csv,03-01-2020
"Santa Clara, CA",US,2020-02-29T01:33:03,3,0,1,37.3541,-121.9552,03-01-2020.csv,03-01-2020
Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605,03-01-2020.csv,03-01-2020
,Belgium,2020-03-01T12:43:02,2,0,1,50.8333,4.0000,03-01-2020.csv,03-01-2020
,Brazil,2020-02-29T21:03:05,2,0,0,-14.2350,-51.9253,03-01-2020.csv,03-01-2020
,Egypt,2020-03-01T23:33:03,2,0,1,26.0000,30.0000,03-01-2020.csv,03-01-2020
,Russia,2020-02-12T14:43:03,2,0,2,60.0000,90.0000,03-01-2020.csv,03-01-2020
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542,03-01-2020.csv,03-01-2020
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876,03-01-2020.csv,03-01-2020
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611,03-01-2020.csv,03-01-2020
"Snohomish County, WA",US,2020-03-01T20:23:06,2,0,0,48.0330,-121.8339,03-01-2020.csv,03-01-2020
,Afghanistan,2020-02-24T23:33:02,1,0,0,33.0000,65.0000,03-01-2020.csv,03-01-2020
,Algeria,2020-02-25T23:43:03,1,0,0,28.0339,1.6596,03-01-2020.csv,03-01-2020
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382,03-01-2020.csv,03-01-2020
,Belarus,2020-02-28T16:23:03,1,0,0,53.7098,27.9534,03-01-2020.csv,03-01-2020
,Cambodia,2020-02-12T07:43:02,1,0,1,11.5500,104.9167,03-01-2020.csv,03-01-2020
" Montreal, QC",Canada,2020-02-28T05:23:07,1,0,0,45.5017,-73.5673,03-01-2020.csv,03-01-2020
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453,03-01-2020.csv,03-01-2020
,Dominican Republic,2020-03-01T16:03:06,1,0,0,18.7357,-70.1627,03-01-2020.csv,03-01-2020
,Estonia,2020-02-27T16:23:03,1,0,0,58.5953,25.0136,03-01-2020.csv,03-01-2020
,Ireland,2020-03-01T07:13:07,1,0,0,53.1424,-7.6921,03-01-2020.csv,03-01-2020
,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813,03-01-2020.csv,03-01-2020
,Luxembourg,2020-03-01T07:13:07,1,0,0,49.8153,6.1296,03-01-2020.csv,03-01-2020
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,03-01-2020.csv,03-01-2020
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,03-01-2020.csv,03-01-2020
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.2500,03-01-2020.csv,03-01-2020
,New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.8860,03-01-2020.csv,03-01-2020
,Nigeria,2020-02-28T16:23:03,1,0,0,9.0820,8.6753,03-01-2020.csv,03-01-2020
,North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453,03-01-2020.csv,03-01-2020
,San Marino,2020-03-01T07:13:07,1,0,0,43.9424,12.4578,03-01-2020.csv,03-01-2020
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0000,81.0000,03-01-2020.csv,03-01-2020
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589,03-01-2020.csv,03-01-2020
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.7450,-123.8695,03-01-2020.csv,03-01-2020
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437,03-01-2020.csv,03-01-2020
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012,03-01-2020.csv,03-01-2020
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531,03-01-2020.csv,03-01-2020
"Portland, OR",US,2020-02-29T02:23:11,1,0,0,45.5051,-122.6750,03-01-2020.csv,03-01-2020
"Providence, RI",US,2020-03-01T15:33:03,1,0,0,41.8240,-71.4128,03-01-2020.csv,03-01-2020
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936,03-01-2020.csv,03-01-2020
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,33.4255,-111.9400,03-01-2020.csv,03-01-2020
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.6380,03-01-2020.csv,03-01-2020
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134,03-01-2020.csv,03-01-2020
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758,03-01-2020.csv,03-01-2020
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399,03-01-2020.csv,03-01-2020
