"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude","CSV File Name"
"","Croatia","2020-03-11T22:13:12","19","0","0","45.1667","15.5000","03-11-2020.csv"
"","Pakistan","2020-03-11T21:13:23","19","0","2","30.3753","69.3451","03-11-2020.csv"
"Oregon","US","2020-03-11T22:53:03","19","0","0","44.5720","-122.0709","03-11-2020.csv"
"Qinghai","China","2020-03-11T02:18:14","18","0","18","35.7452","95.9956","03-11-2020.csv"
"","Oman","2020-03-10T08:33:02","18","0","9","21.0000","57.0000","03-11-2020.csv"
"","Ecuador","2020-03-11T09:33:12","17","0","0","-1.8312","-78.1834","03-11-2020.csv"
"","Estonia","2020-03-11T22:13:12","16","0","0","58.5953","25.0136","03-11-2020.csv"
"Pennsylvania","US","2020-03-11T22:53:03","16","0","0","40.5908","-77.2098","03-11-2020.csv"
"","Costa Rica","2020-03-11T09:33:12","13","0","0","9.7489","-83.7534","03-11-2020.csv"
"","Hungary","2020-03-11T22:13:12","13","0","0","47.1625","19.5033","03-11-2020.csv"
"","South Africa","2020-03-11T10:33:03","13","0","0","-30.5595","22.9375","03-11-2020.csv"
"Iowa","US","2020-03-11T02:53:03","13","0","0","42.0115","-93.2105","03-11-2020.csv"
"","Albania","2020-03-11T13:33:11","12","1","0","41.1533","20.1683","03-11-2020.csv"
"","Serbia","2020-03-11T09:53:03","12","0","0","44.0165","21.0059","03-11-2020.csv"
"","Azerbaijan","2020-03-11T08:13:09","11","0","3","40.1431","47.5769","03-11-2020.csv"
"","Brunei","2020-03-11T22:13:12","11","0","0","4.5353","114.7277","03-11-2020.csv"
"","Peru","2020-03-10T16:33:13","11","0","0","-9.1900","-75.0152","03-11-2020.csv"
"Indiana","US","2020-03-11T22:53:03","11","0","0","39.8494","-86.2583","03-11-2020.csv"
"Macau","China","2020-03-11T18:52:03","10","0","10","22.1667","113.5500","03-11-2020.csv"
"","Latvia","2020-03-11T13:53:24","10","0","1","56.8796","24.6032","03-11-2020.csv"
"","Slovakia","2020-03-11T13:33:11","10","0","0","48.6690","19.6990","03-11-2020.csv"
"District of Columbia","US","2020-03-11T22:53:03","10","0","0","38.8974","-77.0268","03-11-2020.csv"
"South Carolina","US","2020-03-11T22:53:03","10","0","0","33.8569","-80.9450","03-11-2020.csv"
"South Australia","Australia","2020-03-11T18:52:04","9","0","2","-34.9285","138.6007","03-11-2020.csv"
"Western Australia","Australia","2020-03-11T18:52:04","9","1","0","-31.9505","115.8605","03-11-2020.csv"
"","Belarus","2020-03-10T16:13:27","9","0","3","53.7098","27.9534","03-11-2020.csv"
"","Colombia","2020-03-11T14:33:04","9","0","0","4.5709","-74.2973","03-11-2020.csv"
"Arizona","US","2020-03-11T18:52:04","9","0","1","33.7298","-111.4312","03-11-2020.csv"
"Maryland","US","2020-03-11T03:33:05","9","0","0","39.0639","-76.8021","03-11-2020.csv"
"Tennessee","US","2020-03-11T22:53:03","9","0","0","35.7478","-86.6923","03-11-2020.csv"
"Virginia","US","2020-03-11T03:33:05","9","0","0","37.7693","-78.1700","03-11-2020.csv"
"Quebec","Canada","2020-03-11T23:13:06","8","0","0","52.9399","-73.5491","03-11-2020.csv"
"","Maldives","2020-03-11T09:33:12","8","0","0","3.2028","73.2207","03-11-2020.csv"
"","Mexico","2020-03-11T21:13:24","8","0","4","23.0000","-102.0000","03-11-2020.csv"
"","Panama","2020-03-11T09:33:12","8","1","0","8.5380","-80.7821","03-11-2020.csv"
"Kentucky","US","2020-03-11T03:13:08","8","0","0","37.6681","-84.6701","03-11-2020.csv"
"South Dakota","US","2020-03-11T22:53:03","8","1","0","44.2998","-99.4388","03-11-2020.csv"
"","Afghanistan","2020-03-11T10:13:12","7","0","0","33.0000","65.0000","03-11-2020.csv"
"","Bosnia and Herzegovina","2020-03-11T22:13:12","7","0","0","43.9159","17.6791","03-11-2020.csv"
"","Bulgaria","2020-03-11T22:13:12","7","1","0","42.7339","25.4858","03-11-2020.csv"
"","Luxembourg","2020-03-11T09:33:12","7","0","0","49.8144","6.1317","03-11-2020.csv"
"","North Macedonia","2020-03-10T10:53:03","7","0","0","41.6086","21.7453","03-11-2020.csv"
"","Tunisia","2020-03-11T18:52:03","7","0","0","33.8869","9.5375","03-11-2020.csv"
"Nevada","US","2020-03-11T22:53:03","7","0","0","38.3135","-117.0554","03-11-2020.csv"
"North Carolina","US","2020-03-10T02:33:04","7","0","0","35.6301","-79.8064","03-11-2020.csv"
"","Cyprus","2020-03-11T18:52:03","6","0","0","35.1264","33.4299","03-11-2020.csv"
"","Malta","2020-03-11T11:33:08","6","0","0","35.9375","14.3754","03-11-2020.csv"
"Louisiana","US","2020-03-11T10:13:20","6","0","0","31.1695","-91.8678","03-11-2020.csv"
"Wisconsin","US","2020-03-11T22:53:03","6","0","1","44.2685","-89.6165","03-11-2020.csv"
"","Dominican Republic","2020-03-08T17:23:08","5","0","0","18.7357","-70.1627","03-11-2020.csv"
"","French Guiana","2020-03-07T03:23:05","5","0","0","3.9339","-53.1258","03-11-2020.csv"
"","Morocco","2020-03-11T11:53:03","5","1","0","31.7917","-7.0926","03-11-2020.csv"
"","New Zealand","2020-03-07T02:03:29","5","0","0","-40.9006","174.8860","03-11-2020.csv"
"","Paraguay","2020-03-11T04:33:03","5","0","0","-23.4425","-58.4438","03-11-2020.csv"
"Minnesota","US","2020-03-11T19:13:18","5","0","0","45.6945","-93.9002","03-11-2020.csv"
"Nebraska","US","2020-03-11T23:13:07","5","0","0","41.1254","-98.2681","03-11-2020.csv"
"New Hampshire","US","2020-03-11T10:13:20","5","0","0","43.4525","-71.5639","03-11-2020.csv"
"Rhode Island","US","2020-03-11T03:13:08","5","0","0","41.6809","-71.5118","03-11-2020.csv"
"","Senegal","2020-03-08T20:23:08","4","0","1","14.4974","-14.4524","03-11-2020.csv"
"Ohio","US","2020-03-11T18:52:04","4","0","0","40.3888","-82.7649","03-11-2020.csv"
"Tasmania","Australia","2020-03-11T18:52:04","3","0","0","-41.4545","145.9707","03-11-2020.csv"
"","Bangladesh","2020-03-10T06:19:32","3","0","0","23.6850","90.3563","03-11-2020.csv"
"","Cambodia","2020-03-11T09:33:12","3","0","1","12.5657","104.9910","03-11-2020.csv"
"","Lithuania","2020-03-11T02:18:26","3","0","0","55.1694","23.8813","03-11-2020.csv"
"","Martinique","2020-03-11T02:18:29","3","0","0","14.6415","-61.0242","03-11-2020.csv"
"","Moldova","2020-03-11T18:52:03","3","0","0","47.4116","28.3699","03-11-2020.csv"
"Connecticut","US","2020-03-11T23:13:06","3","0","0","41.5978","-72.7554","03-11-2020.csv"
"New Mexico","US","2020-03-11T18:52:04","3","0","0","34.8405","-106.2485","03-11-2020.csv"
"Utah","US","2020-03-11T23:13:06","3","0","0","40.1500","-111.8624","03-11-2020.csv"
"","Bolivia","2020-03-11T18:52:03","2","0","0","-16.2902","-63.5887","03-11-2020.csv"
"","Burkina Faso","2020-03-11T09:33:12","2","0","0","12.2383","-1.5616","03-11-2020.csv"
"","Cameroon","2020-03-08T05:23:03","2","0","0","3.8480","11.5021","03-11-2020.csv"
"Faroe Islands","Denmark","2020-03-11T20:53:02","2","0","0","61.8926","-6.9118","03-11-2020.csv"
"St Martin","France","2020-03-11T20:53:02","2","0","0","18.0708","-63.0501","03-11-2020.csv"
"","Honduras","2020-03-11T18:52:03","2","0","0","15.2000","-86.2419","03-11-2020.csv"
"","Nigeria","2020-03-09T09:43:03","2","0","0","9.0820","8.6753","03-11-2020.csv"
"","Sri Lanka","2020-03-11T09:33:12","2","0","1","7.8731","80.7718","03-11-2020.csv"
"Hawaii","US","2020-03-10T03:13:17","2","0","0","21.0943","-157.4983","03-11-2020.csv"
"Michigan","US","2020-03-11T03:33:05","2","0","0","43.3266","-84.5361","03-11-2020.csv"
"Oklahoma","US","2020-03-10T17:13:25","2","0","0","35.5653","-96.9289","03-11-2020.csv"
"Channel Islands","United Kingdom","2020-03-11T20:53:02","2","0","0","49.3723","-2.3644","03-11-2020.csv"
"","Andorra","2020-03-02T20:23:16","1","0","0","42.5063","1.5218","03-11-2020.csv"
"","Armenia","2020-03-01T19:53:02","1","0","0","40.0691","45.0382","03-11-2020.csv"
"Northern Territory","Australia","2020-03-10T14:13:14","1","0","0","-12.4634","130.8456","03-11-2020.csv"
"","Bhutan","2020-03-06T15:43:02","1","0","0","27.5142","90.4336","03-11-2020.csv"
"New Brunswick","Canada","2020-03-11T23:13:06","1","0","0","46.5653","-66.4619","03-11-2020.csv"
"Tibet","China","2020-03-11T02:18:14","1","0","1","31.6927","88.0924","03-11-2020.csv"
"","Congo (Kinshasa)","2020-03-11T21:13:24","1","0","0","-4.0383","21.7587","03-11-2020.csv"
"","Cote d'Ivoire","2020-03-11T23:33:03","1","0","0","7.5400","-5.5471","03-11-2020.csv"
"Saint Barthelemy","France","2020-03-11T20:53:02","1","0","0","17.9000","-62.8333","03-11-2020.csv"
"","Holy See","2020-03-10T19:13:21","1","0","0","41.9029","12.4534","03-11-2020.csv"
"","Jamaica","2020-03-11T18:52:03","1","0","0","18.1096","-77.2975","03-11-2020.csv"
"","Jordan","2020-03-03T15:33:02","1","0","0","31.2400","36.5100","03-11-2020.csv"
"","Liechtenstein","2020-03-04T01:33:07","1","0","0","47.1400","9.5500","03-11-2020.csv"
"","Monaco","2020-02-29T00:33:01","1","0","0","43.7333","7.4167","03-11-2020.csv"
"","Mongolia","2020-03-10T06:13:43","1","0","0","46.8625","103.8467","03-11-2020.csv"
"","Nepal","2020-03-10T08:33:03","1","0","1","28.3949","84.1240","03-11-2020.csv"
"","Reunion","2020-03-11T23:13:07","1","0","0","-21.1151","55.5364","03-11-2020.csv"
"","Togo","2020-03-07T02:13:09","1","0","0","8.6195","0.8248","03-11-2020.csv"
"","Turkey","2020-03-11T03:33:05","1","0","0","38.9637","35.2433","03-11-2020.csv"
"Arkansas","US","2020-03-11T18:52:04","1","0","0","34.9697","-92.3731","03-11-2020.csv"
"Delaware","US","2020-03-11T23:13:06","1","0","0","39.3185","-75.5071","03-11-2020.csv"
"Kansas","US","2020-03-10T03:13:17","1","0","0","38.5266","-96.7265","03-11-2020.csv"
"Missouri","US","2020-03-10T03:13:17","1","0","0","38.4561","-92.2884","03-11-2020.csv"
"Montana","US","2020-03-11T23:13:06","1","0","0","46.9219","-110.4544","03-11-2020.csv"
