"old_county","old_province_state","old_counrty_region","County","Province_State","Country_Region","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","old_combined_key","combined_key","UID","In_DBT_Exceptions"
"Obrien","Iowa","US","O'Brien","Iowa","US","43.08310673","-95.62474482","","","","","19141","Obrien, Iowa, US","O'Brien, Iowa, US","0084019141",
"Unknown","Kansas","US","Unassigned","Kansas","US","","","","","","","90020","Unknown, Kansas, US","Unassigned, Kansas, US","0084090020",
"La Salle","Louisiana","US","LaSalle","Louisiana","US","31.67884782","-92.15907765","","","","","22059","La Salle, Louisiana, US","LaSalle, Louisiana, US","0084022059",
"Parish Under Investigation","Louisiana","US","Unassigned","Louisiana","US","","","","","","","90022","Parish Under Investigation, Louisiana, US","Unassigned, Louisiana, US","0084090022",
"West Celiciana","Louisiana","US","West Feliciana","Louisiana","US","30.87882871","-91.4148538","","","","","22125","West Celiciana, Louisiana, US","West Feliciana, Louisiana, US","0084022125",
"Prince Georges","Maryland","US","Prince George's","Maryland","US","38.83070039","-76.8496441","","","","","24033","Prince Georges, Maryland, US","Prince George's, Maryland, US","0084024033",
"Queen Annes","Maryland","US","Queen Anne's","Maryland","US","39.06198912","-76.03530977","","","","","24035","Queen Annes, Maryland, US","Queen Anne's, Maryland, US","0084024035",
"St. Marys","Maryland","US","St. Mary's","Maryland","US","38.30058422","-76.6062928","","","","","24037","St. Marys, Maryland, US","St. Mary's, Maryland, US","0084024037",
"Dukes and Nantucket","Massachusetts","US","Dukes and Nantucket","Massachusetts","US","41.40674725","-70.68763497","","","","","","Dukes and Nantucket, Massachusetts, US","Dukes and Nantucket, Massachusetts, US","0084070002",
"Dickson","Michigan","US","Manistee","Michigan","US","44.33352407","-86.05626916","","","","","26101","Dickson, Michigan, US","Manistee, Michigan, US","0084026101",
"Out of State","Michigan","US","Out of MI","Michigan","US","","","","","","","80026","Out of State, Michigan, US","Out of MI, Michigan, US","0084080026",
