"Location Name Key","Event First CSV File Name","Event First Location Name Key","Event First Date","Event First Value","Confirmed First CSV File Name","Confirmed First Location Name Key","Confirmed First Date","Confirmed First Value","Deaths First CSV File Name","Deaths First Location Name Key","Deaths First Date","Deaths First Value","Recovered First CSV File Name","Recovered First Location Name Key","Recovered First Date","Recovered First Value","Active First CSV File Name","Active First Location Name Key","Active First Date","Active First Value"
"Anderson, SC, USA","03-22-2020.csv","Anderson, SC, USA","03-22-2020","10","03-22-2020.csv","Anderson, SC, USA","03-22-2020","10","03-30-2020.csv","Anderson, SC, USA","03-30-2020","1",,,,,"03-22-2020.csv","Anderson, SC, USA","03-22-2020","10"
"Anderson, TN, USA","03-22-2020.csv","Anderson, TN, USA","03-22-2020","1","03-22-2020.csv","Anderson, TN, USA","03-22-2020","1",,,,,,,,,"03-22-2020.csv","Anderson, TN, USA","03-22-2020","1"
"Anderson, TX, USA","03-31-2020.csv","Anderson, TX, USA","03-31-2020","1","03-31-2020.csv","Anderson, TX, USA","03-31-2020","1",,,,,,,,,"03-31-2020.csv","Anderson, TX, USA","03-31-2020","1"
"Andorra","03-02-2020.csv","Andorra","03-02-2020","1","03-02-2020.csv","Andorra","03-02-2020","1","03-22-2020.csv","Andorra","03-22-2020","1","03-12-2020.csv","Andorra","03-12-2020","1","03-02-2020.csv","Andorra","03-02-2020","1"
"Andrew, MO, USA",,,,,,,,,,,,,,,,,,,,
"Andrews, TX, USA","03-28-2020.csv","Andrews, TX, USA","03-28-2020","1","03-28-2020.csv","Andrews, TX, USA","03-28-2020","1",,,,,,,,,"03-28-2020.csv","Andrews, TX, USA","03-28-2020","1"
"Androscoggin, ME, USA","03-22-2020.csv","Androscoggin, ME, USA","03-22-2020","3","03-22-2020.csv","Androscoggin, ME, USA","03-22-2020","3",,,,,,,,,"03-22-2020.csv","Androscoggin, ME, USA","03-22-2020","3"
"Angelina, TX, USA","03-26-2020.csv","Angelina, TX, USA","03-26-2020","1","03-26-2020.csv","Angelina, TX, USA","03-26-2020","1",,,,,,,,,"03-26-2020.csv","Angelina, TX, USA","03-26-2020","1"
"Angola","03-20-2020.csv","Angola","03-20-2020","1","03-20-2020.csv","Angola","03-20-2020","1","03-29-2020.csv","Angola","03-29-2020","2","03-31-2020.csv","Angola","03-31-2020","1","03-20-2020.csv","Angola","03-20-2020","1"
"Anguilla, United Kingdom","03-28-2020.csv","Anguilla, United Kingdom","03-28-2020","2","03-28-2020.csv","Anguilla, United Kingdom","03-28-2020","2",,,,,,,,,"03-28-2020.csv","Anguilla, United Kingdom","03-28-2020","2"
